Код_товара;Идентификатор_товара;Наличие;Цена;Валюта;Ключевые_слова;Единица_измерения;Название_позиции;Производитель;Ссылка_изображения;Страна_производитель;Тип_товара;Описание;Адрес_подраздела;Атрибут_Вес(кг);Атрибут_Вид нагревательного кабеля;Атрибут_Вид основного сырья;Атрибут_Виды индикации;Атрибут_Время зарядки (час);Атрибут_Гарантийный срок(мес.);Атрибут_Год выпуска;Атрибут_Дистанция пробега (км);Атрибут_Допустимая пиковая мощность (Вт);Атрибут_Защита от короткого замыкания;Атрибут_Защита от перегрева;Атрибут_Защита от перегрузок;Атрибут_Защита от переполюсовки;Атрибут_Защита от разряда аккумуляторной батареи;Атрибут_Класс материала по теплопроводности;Атрибут_Количество жил;Атрибут_Количество колес (шт.);Атрибут_Количество скоростей (шт.);Атрибут_Количество теплообменников (шт.);Атрибут_Конструктивное исполнение бака;Атрибут_Коэффициент преобразования;Атрибут_КПД,не менее (%);Атрибут_Максимальная мощность (Вт/м);Атрибут_Максимальная скорость (км/ч);Атрибут_Максимальная температура в баке (град.);Атрибут_Максимальная температура теплоносителя в;Атрибут_Максимальное давление в баке (бар);Атрибут_Максимальное давление теплообменника (ба;Атрибут_Максимальное рабочее давление (бар);Атрибут_Максимальный напор (м);Атрибут_Марка;Атрибут_Материал бака-аккумулятора;Атрибут_Материал изоляции;Атрибут_Материал корпуса;Атрибут_Материал рабочего колеса;Атрибут_Материал теплообменника;Атрибут_Минимальная рабочая температура (град.);Атрибут_Минимальный радиус изгиба (мм);Атрибут_Модель;Атрибут_Мощность электродвигателя (Вт);Атрибут_Напряжение сети;Атрибут_Номинальная мощность (Вт);Атрибут_Номинальное входное напряжение;Атрибут_Номинальное выходное напряжение;Атрибут_Номинальный ток (А);Атрибут_Область применения нагревательного кабел;Атрибут_Общая мощность теплообменника (кВт);Атрибут_Общая площадь поверхности теплообменника;Атрибут_Объем бака (л);Атрибут_Объем расширительного бака (л);Атрибут_Перекачиваемые среды;Атрибут_Переключение скоростей;Атрибут_Плавный пуск двигателя;Атрибут_Расположение бака;Атрибут_Рекомендуемая предельная скорость (км/ч);Атрибут_С заменяемой мембраной;Атрибут_Способ установки;Атрибут_Степень защиты IP;Атрибут_Теплопроводность (Вт/мК);Атрибут_Тип затвора;Атрибут_Тип коллектора;Атрибут_Тип материала;Атрибут_Тип присоединения;Атрибут_Тип ротора;Атрибут_Ток холостого хода (А);Атрибут_Установка насоса;Атрибут_Форма выходного напряжения;Атрибут_Форма поставки материала;Атрибут_Частота (Гц);Атрибут_Частота тока (Гц);Атрибут_Экологическая безопасность материала;Атрибут_Экранированный кабель;Возможность_поставки;Идентификатор_группы;Идентификатор_подраздела;Минимальный_заказ_опт;Минимальный_объем_заказа;Номер_группы;Скидка;Способ_упаковки;Срок_поставки;Уникальный_идентификатор;
"3N659900000A";"3N659900000A";"-";"5036,27";"EUR";"инвертор солнечный, гелиоинвертор, pv инвертор, pv invertor, сетевой инвертор, abb, абб";"шт";"Сетевой инвертор ABB PRO-33.0-TL-OUTD-400 33кВт";"ABB";"http://atmosfera.ua/images/forshops/ABB-PRO-33_1.jpg, http://atmosfera.ua/images/forshops/ABB-PRO-33_2.jpg";"Италия";"r";"<p>3-фазный бестрансформаторный сетевой инвертор для работы по ""зеленому"" тарифу мощностью 33кВт с 1 МРР-трекером. Солнечный инвертор PRO-33.0-TL-OUTD-SX-400 совместим с системами удаленного мониторинга и управления, прост в монтаже, имеет высокую производительность и КПД до 98,3%.
<p>Инверторы не содержат электролитических конденсаторов, что делает их более долговечными и надежными.";"http://prom.ua/Invertory";"66";"";"";"";"";"60";"";"";"";"";"да";"";"да";"";"";"";"";"";"";"";"0.983";"98";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"320~480 В";"33000";"580~950 В";"400 В";"";"";"";"";"";"";"";"";"";"";"";"";"";"65";"";"";"";"";"";"";"";"";"Чистая синусоида";"";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";
"15ПМ(ж)";"15ПМ(ж)";"+";"4,16";"USD";"";"пог.м";"Труба GofraFlex гофрированная нержавеющая под фитинги 15ПМ(ж) отож. с полиэтил. покр. желтая";"GofraFlex";"";"Южная Корея";"r";"<p>Труба GofraFlex гофрированная нержавеющая под фитинги 15ПМ(ж) отожженная с полиэтиленовым покрытием желтая. Предназначена для использования в системах газо и водоснабжения, отопления, теплый пол, прокладка кабельных магистралей, гелиосистемы, подача ГСМ материалов, а так же системах автоматического пожаротушения. Труба полностью компенсирует линейные расширения и сжатия, устойчива к гидроударам (рабочее давление 16Атм, а кратковременно он может выдержать 60Атм), не боится разморозки, грызунов, плесени и грибков, не подвержен коррозии. Гибкий гофрированный трубопровод GofraFlex прост и удобен в монтаже.  Скорость монтажа уменьшается в 5 раз! Все изгибы трубы делаются руками, а соединения гаечным ключом соответствующего размера. Трубопровод GofraFlex имеет международный сертификат качества ISO 9001, а так же сертифицирован УКРСЕПРО и прошел тестирование в Европейском институте CNBOP-PIB.</p>
<p><iframe frameborder=""0"" height=""340"" src=""http://www.youtube.com/embed/3XYw__FaI-Y?rel=0&amp;wmode=transparent"" width=""560""></iframe></p>";"http://prom.ua/Drugie-truby";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20ПМ(ж)";"20ПМ(ж)";"-";"6,14";"USD";"";"пог.м";"Труба GofraFlex гофрированная нержавеющая под фитинги 20ПМ(ж) отож. с полиэтил. покр. желтая";"GofraFlex";"";"Южная Корея";"r";"<p>Труба GofraFlex гофрированная нержавеющая под фитинги 20ПМ(ж) отожженная с полиэтиленовым покрытием желтая. Предназначена для использования в системах газо и водоснабжения, отопления, теплый пол, прокладка кабельных магистралей, гелиосистемы, подача ГСМ материалов, а так же системах автоматического пожаротушения. Труба полностью компенсирует линейные расширения и сжатия, устойчива к гидроударам (рабочее давление 16Атм, а кратковременно он может выдержать 60Атм), не боится разморозки, грызунов, плесени и грибков, не подвержен коррозии. Гибкий гофрированный трубопровод GofraFlex прост и удобен в монтаже.  Скорость монтажа уменьшается в 5 раз! Все изгибы трубы делаются руками, а соединения гаечным ключом соответствующего размера. Трубопровод GofraFlex имеет международный сертификат качества ISO 9001, а так же сертифицирован УКРСЕПРО и прошел тестирование в Европейском институте CNBOP-PIB.</p>
<p><iframe frameborder=""0"" height=""340"" src=""http://www.youtube.com/embed/3XYw__FaI-Y?rel=0&amp;wmode=transparent"" width=""560""></iframe></p>";"http://prom.ua/Drugie-truby";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"гайка 20B";"гайка 20B";"+";"1,73";"USD";"";"шт";"Накидная гайка для гофротрубы GofraFlex под розвальцовку 20B 1""";"GofraFlex";"";"Южная Корея";"r";"<p>Накидная гайка для гофротрубы GofraFlex под розвальцовку 20B 1""</p>

<p><iframe frameborder=""0"" height=""340"" src=""http://www.youtube.com/embed/3XYw__FaI-Y?rel=0&amp;wmode=transparent"" width=""560""></iframe></p>";"http://prom.ua/Sgony";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"N1*1";"N1*1";"+";"3,23";"USD";"";"шт";"Ниппель прямой под гофротрубу Lavita 25Н 1""";"Lavita";"http://atmosfera.ua/images/forshops/Lavita_nippel_800.jpg";"Южная Корея";"r";"Толстостенный латунный ниппель соединительный прямой под гофротрубу с наружной резьбой даметром 1 дюйм.";"http://prom.ua/Nippeli";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Y FILTER 1";"Y FILTER 1";"+";"7,70";"USD";"";"шт";"Фильтр механический Lavita 1""";"Lavita";"http://atmosfera.ua/images/forshops/Lavita_filter_800.jpg";"Южная Корея";"r";"Механический латунный фильтр с внуренней резьбой диаметром 1 дюйм.";"http://prom.ua/Filtry-gruboj-ochistki";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"GBC25";"GBC25";"+";"8,05";"USD";"";"шт";"Муфта Gofraflex GBC25 ""труба-наружн. резьба"" ГАЗ (ПАПА)";"GofraFlex";"";"Южная Корея";"r";"<p>Муфта Gofraflex GBC25 ""труба-наружн. резьба"" ГАЗ (ПАПА)</p>
<p><iframe frameborder=""0"" height=""340"" src=""http://www.youtube.com/embed/3XYw__FaI-Y?rel=0&amp;wmode=transparent"" width=""560""></iframe></p>";"http://prom.ua/Mufty";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BC15";"BC15";"+";"2,12";"USD";"";"шт";"Муфта Gofraflex BC15 ""труба-наружн. резьба""";"GofraFlex";"";"Южная Корея";"r";"<p>Муфта Gofraflex BC15 ""труба-наружн. резьба""</p>
<p><iframe frameborder=""0"" height=""340"" src=""http://www.youtube.com/embed/3XYw__FaI-Y?rel=0&amp;wmode=transparent"" width=""560""></iframe></p>";"http://prom.ua/Mufty";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"GWS 24-2";"GWS 24-2";"-";"4,69";"USD";"";"пог.м";"Нагревательный кабель Lavita GWS 24-2 M=24W";"Lavita";"http://atmosfera.ua/images/forshops/GWS-2CR.png";"Южная Корея";"r";"Саморегулирующиеся кабели Lavita серии GWS 24-2 предназначены для защиты трубопроводов от замерзания или поддержания температуры жидкости в трубопроводах  и промышленных емкостях до 85 ◦С. Кабели могут применяться как в безопасных, так и во взрывоопасной зонах. Могут располагаться как с наружи, так и внутри трубопровода. Его особенностью является то, что в зависимости от окружающей температуры кабель автоматически регулирует свою теплоотдачу. В горячих участках кабеля греющий элемент, расширяясь, практически полностью разрывает токопроводящие дорожки. При этом электрическое сопротивление материала становится очень высоким, что приводит к прекращению обогрева.";"http://prom.ua/Nagrevatelnye-kabeli";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50";"";"";"";"";"";"";"";"";"0,1";"";"";"";
"SR988C1";"SR988C1";"+";"339,00";"USD";"Контроллер, солнечные системы, гелиосистемы, регулятор, устройство управления, управляющее устройство";"шт";"Моноблочный контроллер для гелиосистем под давлением СК988C1";"Atmosfera";"http://atmosfera.ua/images/forshops/SR988_1.png, http://atmosfera.ua/images/forshops/SR988_2.png";"Китай";"r";"Моноблочный контроллер для гелиосистем под давлением (замкнутый контур) СК988C1 предназначен для работы и управления до 39 стандартных гидравлических схем, которые позволяют осуществить управление системами состоящими из нескольких потребителей – до 3-х баков накопителей, бассейнов, поддержки отопления и др.";"http://prom.ua/Solnechnye-kontrollery";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10%";"";"";"";
