Код_товара;Идентификатор_товара;Наличие;Цена;Валюта;Ключевые_слова;Единица_измерения;Название_позиции;Производитель;Ссылка_изображения;Страна_производитель;Тип_товара;Описание;Адрес_подраздела;Атрибут_Вес(кг);Атрибут_Вид нагревательного кабеля;Атрибут_Вид основного сырья;Атрибут_Виды индикации;Атрибут_Время зарядки (час);Атрибут_Гарантийный срок(мес.);Атрибут_Год выпуска;Атрибут_Дистанция пробега (км);Атрибут_Допустимая пиковая мощность (Вт);Атрибут_Защита от короткого замыкания;Атрибут_Защита от перегрева;Атрибут_Защита от перегрузок;Атрибут_Защита от переполюсовки;Атрибут_Защита от разряда аккумуляторной батареи;Атрибут_Класс материала по теплопроводности;Атрибут_Количество жил;Атрибут_Количество колес (шт.);Атрибут_Количество скоростей (шт.);Атрибут_Количество теплообменников (шт.);Атрибут_Конструктивное исполнение бака;Атрибут_Коэффициент преобразования;Атрибут_КПД,не менее (%);Атрибут_Максимальная мощность (Вт/м);Атрибут_Максимальная скорость (км/ч);Атрибут_Максимальная температура в баке (град.);Атрибут_Максимальная температура теплоносителя в;Атрибут_Максимальное давление в баке (бар);Атрибут_Максимальное давление теплообменника (ба;Атрибут_Максимальное рабочее давление (бар);Атрибут_Максимальный напор (м);Атрибут_Марка;Атрибут_Материал бака-аккумулятора;Атрибут_Материал изоляции;Атрибут_Материал корпуса;Атрибут_Материал рабочего колеса;Атрибут_Материал теплообменника;Атрибут_Минимальная рабочая температура (град.);Атрибут_Минимальный радиус изгиба (мм);Атрибут_Модель;Атрибут_Мощность электродвигателя (Вт);Атрибут_Напряжение сети;Атрибут_Номинальная мощность (Вт);Атрибут_Номинальное входное напряжение;Атрибут_Номинальное выходное напряжение;Атрибут_Номинальный ток (А);Атрибут_Область применения нагревательного кабел;Атрибут_Общая мощность теплообменника (кВт);Атрибут_Общая площадь поверхности теплообменника;Атрибут_Объем бака (л);Атрибут_Объем расширительного бака (л);Атрибут_Перекачиваемые среды;Атрибут_Переключение скоростей;Атрибут_Плавный пуск двигателя;Атрибут_Расположение бака;Атрибут_Рекомендуемая предельная скорость (км/ч);Атрибут_С заменяемой мембраной;Атрибут_Способ установки;Атрибут_Степень защиты IP;Атрибут_Теплопроводность (Вт/мК);Атрибут_Тип затвора;Атрибут_Тип коллектора;Атрибут_Тип материала;Атрибут_Тип присоединения;Атрибут_Тип ротора;Атрибут_Ток холостого хода (А);Атрибут_Установка насоса;Атрибут_Форма выходного напряжения;Атрибут_Форма поставки материала;Атрибут_Частота (Гц);Атрибут_Частота тока (Гц);Атрибут_Экологическая безопасность материала;Атрибут_Экранированный кабель;Возможность_поставки;Идентификатор_группы;Идентификатор_подраздела;Минимальный_заказ_опт;Минимальный_объем_заказа;Номер_группы;Скидка;Способ_упаковки;Срок_поставки;Уникальный_идентификатор;
"PIKO 1.5";"PIKO 1.5";"-";"930,00";"EUR";"инвертор солнечный, гелиоинвертор, pv инвертор, pv invertor, сетевой инвертор, kostal";"шт";"Инвертор сетевой Kostal PIKO  1.5 MP (1.5кВт, 1 фаза /1 трекер)";"Kostal";"http://atmosfera.ua/images/4sh/piko.jpg";"Германия";"r";"Инвертор сетевой Kostal PIKO  1.5 MP (1.5кВт, 1 фаза /1 трекер)  немецкого производителя сетевых солнечных инверторов, который имеет более 100 лет опыта работы на рынке электроники. Этот  инвертор имеет один встроенный МРР трекер и встроенный электронный автоматический выключатель переменного тока. Наличие встроенного мониторинга (Ethernet), возможности интеграции в систему “умный дом” (KNX, EEBus), счетчика S0, поддержка протокола RS485 и других опций в базовой комплектации делают продукцию Kostal лучшим сочетанием цены за количество опций в инверторе.";"http://prom.ua/Invertory";"";"";"";"";"";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98,0/97,4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"65";"";"";"";"";"";"";"";"";"Чистая синусоида";"";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";
"BLUEPLANET 5.0 TL1 M2 INT";"BLUEPLANET 5.0 TL1 M2 INT";"-";"1564,55";"EUR";"инвертор солнечный, гелиоинвертор, pv инвертор, pv invertor, сетевой инвертор, kaco";"шт";"Инвертор сетевой Kaco BLUEPLANET  5.0 TL1 M2 INT (5кВА, 1 фаза / 2 трекера)";"Kaco";"http://atmosfera.ua/images/4sh/Kaco-BP-5-1.jpg";"Германия";"r";"Инвертор сетевой Kaco BLUEPLANET  5.0 TL1 M2 INT (5кВА, 1 фаза / 2 трекера)  от немецкого производителя сетевых солнечных инверторов, работающего на рынке фотоэлектрики с 1999 года. Инвертор Kaco имеет лучшее соотношение цена-качество. Благодаря функции Priwatt у вас есть возможность использования на собственное потребление без отдачи электроэнергии в сеть без высоких затрат на дополнительное оборудование для реализации этого, что позволит начать экономить на установке системы до подключения зеленого тарифа.
Стандартная гарантия 7 лет.";"http://prom.ua/Invertory";"";"";"";"";"";"84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"97,2/96,6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Чистая синусоида";"";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";
"POWADOR 36.0 TL3 XL INT";"POWADOR 36.0 TL3 XL INT";"-";"8300,00";"EUR";"инвертор солнечный, гелиоинвертор, pv инвертор, pv invertor, сетевой инвертор, kaco";"шт";"Инвертор сетевой Kaco Powador 36.0 TL3 XL INT SPD 1+2 W5 (30кВА, 3 фазы)";"Kaco";"http://atmosfera.ua/images/4sh/Kaco-BP-5-2.jpg";"Германия";"r";"Инвертор сетевой Kaco Powador 36.0 TL3 XL INT SPD 1+2 W5 (30кВА, 3 фазы) от немецкого производителя сетевых солнечных инверторов, работающего на рынке фотоэлектрики с 1999 года. Инвертор Kaco имеет лучшее соотношение цена-качество. Благодаря функции Priwatt у вас есть возможность использования на собственное потребление без отдачи электроэнергии в сеть без высоких затрат на дополнительное оборудование для реализации этого, что позволит начать экономить на установке системы до подключения зеленого тарифа.
Стандартная гарантия 5 лет.";"http://prom.ua/Invertory";"151";"";"";"";"";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,98";"98";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"380 В";"30000";"260-800 В";"380 В";"";"";"";"";"";"";"";"";"";"";"";"";"";"65";"";"";"";"";"";"";"";"";"Чистая синусоида";"";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";
"PIKO 15";"PIKO 15";"+";"3465,00";"EUR";"инвертор солнечный, гелиоинвертор, pv инвертор, pv invertor, сетевой инвертор, kostal";"шт";"Инвертор сетевой Kostal PIKO 15 (15кВт, 3 фазы)";"Kostal";"http://atmosfera.ua/images/4sh/piko.jpg";"Германия";"r";"Инвертор сетевой Kostal PIKO 15 (15кВт, 3 фазы /3 трекера) немецкого производителя сетевых солнечных инверторов, который имеет более 100 лет опыта работы на рынке электроники. Этот  инвертор имеет три встроенных МРР трекера и встроенный электронный автоматический выключатель переменного тока. Наличие встроенного мониторинга (Ethernet), возможности интеграции в систему “умный дом” (KNX, EEBus), счетчика S0, поддержка протокола RS485 и других опций в базовой комплектации делают продукцию Kostal лучшим сочетанием цены за количество опций в инверторе.";"http://prom.ua/Invertory";"48,5";"";"";"";"";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,98";"98";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"400 В";"15000";"680 В";"400 В";"";"";"";"";"";"";"";"";"";"";"";"";"";"65";"";"";"";"";"";"";"";"";"Чистая синусоида";"";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";
"3N81990S000A";"3N81990S000A";"-";"2444,42";"EUR";"инвертор солнечный, гелиоинвертор, pv инвертор, pv invertor, сетевой инвертор, abb, абб";"шт";"Сетевой инвертор ABB PVI-10.0-TL-OUTD-S 10кВт";"ABB";"http://atmosfera.ua/images/forshops/ABB-PVI-10_1.jpg, http://atmosfera.ua/images/forshops/ABB-PVI-10_2.jpg";"Италия";"r";"3-фазный сетевой инвертор для работы по ""зеленому"" тарифу мощностью 10кВт с выключателем постоянного тока. Солнечный инвертор PVI-10.0-TL-OUTD совместим с системами удаленного мониторинга и управления, прост в монтаже, имеет высокую производительность и КПД до 97,8%.";"http://prom.ua/Invertory";"41";"";"";"";"";"60";"";"";"";"";"да";"";"да";"";"";"";"";"";"";"";"0.978";"97,1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"320~480 В";"10000";"850 В";"400 В";"";"";"";"";"";"";"";"";"";"";"";"";"";"65";"";"";"";"";"";"";"";"";"Чистая синусоида";"";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";
"PIKO 17";"PIKO 17";"-";"3564,00";"EUR";"инвертор солнечный, гелиоинвертор, pv инвертор, pv invertor, сетевой инвертор, kostal";"шт";"Инвертор сетевой Kostal PIKO 17 (17кВт, 3 фазы /3 трекера)";"Kostal";"http://atmosfera.ua/images/4sh/piko.jpg";"Германия";"r";"Инвертор сетевой Kostal PIKO 17 (17кВт, 3 фазы /3 трекера)  немецкого производителя сетевых солнечных инверторов, который имеет более 100 лет опыта работы на рынке электроники. Этот  инвертор имеет три встроенных МРР трекера и встроенный электронный автоматический выключатель переменного тока. Наличие встроенного мониторинга (Ethernet), возможности интеграции в систему “умный дом” (KNX, EEBus), счетчика S0, поддержка протокола RS485 и других опций в базовой комплектации делают продукцию Kostal лучшим сочетанием цены за количество опций в инверторе.";"http://prom.ua/Invertory";"";"";"";"";"";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98,0/97,3	";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"17000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"65";"";"";"";"";"";"";"";"";"Чистая синусоида";"";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";
"BLUEPLANET 4.6 TL1 M2 INT";"BLUEPLANET 4.6 TL1 M2 INT";"-";"1589,00";"EUR";"инвертор солнечный, гелиоинвертор, pv инвертор, pv invertor, сетевой инвертор, kaco";"шт";"Инвертор сетевой Kaco BLUEPLANET 4.6 TL1 M2 INT (4,6кВА, 1 фаза)";"Kaco";"http://atmosfera.ua/images/4sh/Kaco-BP-5-1.jpg";"Германия";"r";"Инвертор сетевой Kaco BLUEPLANET 4.6 TL1 M2 INT (4,6кВА, 1 фаза) от немецкого производителя сетевых солнечных инверторов, работающего на рынке фотоэлектрики с 1999 года. Инвертор Kaco имеет лучшее соотношение цена-качество. Благодаря функции Priwatt у вас есть возможность использования на собственное потребление без отдачи электроэнергии в сеть без высоких затрат на дополнительное оборудование для реализации этого, что позволит начать экономить на установке системы до подключения зеленого тарифа.
Стандартная гарантия 7 лет.";"http://prom.ua/Invertory";"18";"";"";"";"";"84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,972";"97,2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"230";"4600";"215-510 В";"230 В";"";"";"";"";"";"";"";"";"";"";"";"";"";"54";"";"";"";"";"";"";"";"";"Чистая синусоида";"";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";
"FSLRDM-08";"FSLRDM-08";"+";"2307,42";"USD";"";"шт";"Тепловой насос ACWELL FSLRDM-08 (воздух(до -20С) - вода) 9 кВт";"Acwell";"http://atmosfera.ua/images/forshops/ACWELL-FSLRDM.jpg";"Китай";"r";"Тепловой насос ACWELL FSLRDM-08 воздух (до -20С) - вода для работы в системах отопления и горячего водоснабжения в том числе в регионах с низкой температурой воздуха.
Тепловая мощность при наружной t=7°/6°С - 9,05 кВт, при наружной t=-5°/-6°С - 6,95 кВт, при наружной t=-10°/-11°С - 6,33 кВт, при наружной t=-15°/-16°С - 5,45 кВт. Мощность охлаждения 6,86 кВт. Потребляемая мощность 2,55-2,75 кВт.
Наружная установка, Специальный спиральный компрессор с экономайзером, Высокий СОР, достигающий величины 2,3 при наружной температуре -15°С, Возможность работы на отопление при наружной температуре -20°С, Температурная компенсация.";"http://prom.ua/Teplovye-nasosy";"430";"";"";"";"";"36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,1";"";"";"";
"BLUEPLANET 5.0 TL3 M2 INT";"BLUEPLANET 5.0 TL3 M2 INT";"-";"1703,00";"EUR";"инвертор солнечный, гелиоинвертор, pv инвертор, pv invertor, сетевой инвертор, kaco";"шт";"Инвертор сетевой Kaco BLUEPLANET 5.0 TL3 M2 INT (5кВА, 3 фазы)";"Kaco";"http://atmosfera.ua/images/4sh/Kaco-BP-5-1.jpg";"Германия";"r";"Инвертор сетевой Kaco BLUEPLANET 5.0 TL3 M2 INT (5кВА, 3 фазы)  от немецкого производителя сетевых солнечных инверторов, работающего на рынке фотоэлектрики с 1999 года. Инвертор Kaco имеет лучшее соотношение цена-качество. Благодаря функции Priwatt у вас есть возможность использования на собственное потребление без отдачи электроэнергии в сеть без высоких затрат на дополнительное оборудование для реализации этого, что позволит начать экономить на установке системы до подключения зеленого тарифа.
Стандартная гарантия 7 лет.";"http://prom.ua/Invertory";"30";"";"";"";"";"84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,983";"98,3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"380 В";"5000";"240-800 В";"380 В";"";"";"";"";"";"";"";"";"";"";"";"";"";"65";"";"";"";"";"";"";"";"";"Чистая синусоида";"";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";
"NSC-58B-20";"NSC-58B-20";"+";"552,00";"USD";"Коллектор, гелиоколлектор, солнце, горячая вода, солнечные системы, вакуумный коллектор";"шт";"Солнечный коллектор АТМОСФЕРА СВК-Nano-20HP";"Atmosfera";"http://atmosfera.ua/images/forshops/SVK-Nano-800-1.jpg, http://atmosfera.ua/images/forshops/SVK-Nano-800-4.jpg, http://atmosfera.ua/images/forshops/SVK-Nano-800-5.jpg";"Китай";"r";"<p>Вакуумный солнечный коллектор АТМОСФЕРА СВК-Nano-20HP на 20 вакуумных трубок. В солнечном коллекторе СВК-NANO использован классический дизайн корпуса теплообменника знакомый нашим клиентам по модели СВК-А, но меньшего размера. В этой модели традиционно используются высокопроизводительные вакуумные трубы 3-hi solar с системой heatpipe (диаметр конденсатора 14 мм).</p>
<p><iframe frameborder=""0"" height=""340"" src=""http://www.youtube.com/embed/vnhMuGEOCik?rel=0&amp;wmode=transparent"" width=""560""></iframe></p>";"http://prom.ua/Vakuumnye-solnechnye-kollektory";"65";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Вакуумный";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JAP6-60 260 Wp,Poly";"JAP6-60 260 Wp,Poly";"-";"171,60";"USD";"PV-модули, фотомодули, фотогальванические модули, фотоэлектрические модули, солнечные модули, солнечные панели, преобразования солнечной энергии, электроснабжение, солнечные электростанции";"шт";"Фотоэлектрический модуль JA Solar JAP6-60 260 Wp,Poly";"JA Solar";"http://atmosfera.ua/images/forshops/abisolar-poly.png";"Китай";"r";"<p>Поликристаллический фотомодуль JA Solar  мощностью 260Вт по технологии 3ВВ,
<p>Фотомодули JA Solar являются отличным продуктом для использования в автономных и сетевых фотоэлектрических системах.
<p>Поликристаллические фотомодули JA Solar имеют одни из лучших показателей эффективности в отрасли — 16,21%. Допуск по мощности положительный, от + 0 до 5 Вт  (Ватт, мощности),, что зафиксировано тестами каждой фотопанели.
<p>Гарантия - 10 лет.</p>
<p><b>Характеристики:</b></p>
<ul>
<li>Номинальная мощность: 260Wp (0~+5％)
<li>Ток короткого замыкания Isc: 9,04A
<li>Напряжение холостого хода Voc: 37,98V
<li>Ток максимальной мощности Imp: 8,49A
<li>Напряжение максимальной мощности Vmp: 30,63V
<li>Максимальное напряжение системы: DC1000V
<li>Количество фотоэлементов: 60 (156×156mm)
<li>Предохранитель, не более: 15A
<li>Размеры: 1650×991×40mm
<li>Вес: 18,2 кг</li>
</ul>";"http://prom.ua/Fotoelementy-i-solnechnye-paneli";"18,2";"";"";"";"";"120";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"67";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PV-20000 T-U";"PV-20000 T-U";"+";"3130,00";"USD";"инвертор солнечный, гелиоинвертор, pv инвертор, pv invertor, сетевой инвертор, primevolt";"шт";"Трехфазный сетевой инвертор PrimeVOLT PV-20000 T-U 20 кВт";"PrimeVOLT";"http://atmosfera.ua/images/4sh/PV-20000T-U-1.jpg, http://atmosfera.ua/images/4sh/PV-20000T-U-2.jpg";"Тайвань";"r";"Трехфазный сетевой инвертор PrimeVOLT PV-20000 T-U  на 20 кВт специально оптимизирован для работы с фотомодулями с ячейками 152мм. Инвертор оснащен встроенным выключателем постоянного тока и собирается в литом корпусе, что делает его особо долговечным. Оснащен встроенным регистратором данных, доступ к которому возможен через встроенный веб-сервер или облачный веб-портал. 
Коммуникационные возможности: Ethernet или Wi-Fi (опционально, с помощью USB адаптера).
Производится в Тайване, имеет сертификаты VDE-AR-N 4105, VDE 0126-1-1/A1, PEA, MEA.
Эффективность преобразования инвертора достигает 98,3%.";"http://prom.ua/Invertory";"42";"";"";"";"";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,982";"98";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"220~240 В";"20000";"550-780 В";"380 В";"";"";"";"";"";"";"";"";"";"";"";"";"";"65";"";"";"";"";"";"";"";"";"Чистая синусоида";"";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";
"Тепро-40П";"Тепро-40П";"-";"2,20";"EUR";"Жидкость, солнце, солнечные системы";"кг";"Теплоноситель Тепро-40П (пропиленгликоль)";"Строн";"http://atmosfera.ua/images/forshops/tepro-30p.jpg";"Украина";"r";"Теплоноситель Тепро-40П на основе пропиленгликоля специально разработан для использования в отопительных системах. В данном продукте были использованы специальные добавки увеличивающие срок службы теплоносителя при высоких температрурах. ТЕПРО-40П является полностью безопасным и экологически чистым продуктом т.к. пропиленгликоль является пищевой добавкой (Е1520) и не токсичен. Данные теплоносители производятся с добавлением антикоррозионных, противопенных и других специализированных присадок которые значительно увеличивают срок службы жидкости, а так же улучают ее физико-химические свойства. Коррозионная активность пропиленгликоля ниже, чем у большинства известных водных растворов солей и спиртов, что позволяет предъявлять невысокие требования к сортности стали для оборудования и снизить стоимость используемого оборудования. Температура замерзания: -30 °C. Гарантийный срок хранения – 5 лет.";"http://prom.ua/Bytovoj-antifriz-dlya-otopitelnyh-sistem";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"кольцо 18B";"кольцо 18B";"+";"0,53";"USD";"";"шт";"Стопорное кольцо для гофротрубы GofraFlex под розвальцовку 18B 3/4""";"GofraFlex";"";"Южная Корея";"r";"<p>Стопорное кольцо для гофротрубы GofraFlex под розвальцовку 18B 3/4""</p>

<p><iframe frameborder=""0"" height=""340"" src=""http://www.youtube.com/embed/3XYw__FaI-Y?rel=0&amp;wmode=transparent"" width=""560""></iframe></p>";"http://prom.ua/Drugoj-fiting-dlya-trub";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BC32";"BC32";"+";"16,90";"USD";"";"шт";"Муфта Gofraflex BC32 ""труба-наружн. резьба""";"GofraFlex";"";"Южная Корея";"r";"<p>Муфта Gofraflex BC32 ""труба-наружн. резьба""</p>
<p><iframe frameborder=""0"" height=""340"" src=""http://www.youtube.com/embed/3XYw__FaI-Y?rel=0&amp;wmode=transparent"" width=""560""></iframe></p>";"http://prom.ua/Mufty";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BIC15";"BIC15";"+";"2,40";"USD";"";"шт";"Муфта Gofraflex BIC15 ""труба-внутр. резьба""";"GofraFlex";"";"Южная Корея";"r";"<p>Муфта Gofraflex BIC15 ""труба-внутр. резьба""</p>
<p><iframe frameborder=""0"" height=""340"" src=""http://www.youtube.com/embed/3XYw__FaI-Y?rel=0&amp;wmode=transparent"" width=""560""></iframe></p>";"http://prom.ua/Mufty";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Y FILTER 1/2";"Y FILTER 1/2";"+";"3,10";"USD";"";"шт";"Фильтр механический Lavita 1/2""";"Lavita";"http://atmosfera.ua/images/forshops/Lavita_filter_800.jpg";"Южная Корея";"r";"Механический латунный фильтр с внуренней резьбой диаметром 1/2 дюйма.";"http://prom.ua/Filtry-gruboj-ochistki";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CHECK VALVE 1/2";"CHECK VALVE 1/2";"+";"3,04";"USD";"";"шт";"Клапан обратный Lavita 1/2 (мама)";"Lavita";"http://atmosfera.ua/images/forshops/Lavita_back_valve_800.jpg";"Южная Корея";"r";"Латунный обратный клапан муфтовый с внутренней резьбой диаметром 1/2 дюйма.";"http://prom.ua/Klapany";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"GBC15";"GBC15";"+";"2,57";"USD";"";"шт";"Муфта Gofraflex GBC15 ""труба-наружн. резьба"" ГАЗ (ПАПА)";"GofraFlex";"";"Южная Корея";"r";"<p>Муфта Gofraflex GBC15 ""труба-наружн. резьба"" ГАЗ (ПАПА)</p>
<p><iframe frameborder=""0"" height=""340"" src=""http://www.youtube.com/embed/3XYw__FaI-Y?rel=0&amp;wmode=transparent"" width=""560""></iframe></p>";"http://prom.ua/Mufty";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BT20";"BT20";"-";"10,00";"USD";"";"шт";"Тройник Gofraflex BT20 ""труба-труба-труба""";"GofraFlex";"";"Южная Корея";"r";"<p>Тройник Gofraflex BT20 ""труба-труба-труба""</p>
<p><iframe frameborder=""0"" height=""340"" src=""http://www.youtube.com/embed/3XYw__FaI-Y?rel=0&amp;wmode=transparent"" width=""560""></iframe></p>";"http://prom.ua/Trojnik";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1253";"1253";"-";"315,00";"EUR";"Коллектор, гелиоколлектор, солнце, горячая вода, солнечные системы, плоский коллектор";"шт";"Плоский солнечный коллектор АТМОСФЕРА СПК-F4M";"Atmosfera";"http://atmosfera.ua/images/forshops/SPK-F4M.jpg";"Польша";"r";"<p>Плоский солнечный коллектор ATMOSFERA F4M имеет медный теплообменник в форме меандра и алюминиевый абсорбер покрытый селективным покрытием BlueTec (Германия), позволяющим добиться высокой эффективности преобразования солнечной энергии.
<p>Пластина абсорбера крепится к теплообменнику посредством ультразвуковой сварки. Корпус коллектора запатентирован и выполнен из специального алюминиевого профиля.
<p>Коллектор покрыт специальным стеклом с низким содержанием железа, для увеличения пропускной способности солнечного излучения.
<p>ATMOSFERA F4M соответствуют DIN EN 12975-2: 2006, имеют сертификат испытаний Solar Keymark.
<p>Коллектор имеет 4 выхода, по 2 на каждую сторону, что позволяет комплектовать им гелиосистемы drain-back.</p>";"http://prom.ua/Solnechnye-kollektory";"40";"";"";"";"";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Минеральная вата";"Алюминий";"";"Медь";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Плоский";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"С&T A 50-1024";"С&T A 50-1024";"+";"45,00";"USD";"сnt, сиэнти солар";"шт";"Контроллер заряда для систем освещения C&T Solar Acamar 50";"C&T Solar";"http://atmosfera.ua/images/4sh/Acmr1.jpg, http://atmosfera.ua/images/4sh/Acmr2.jpg, http://atmosfera.ua/images/4sh/Acmr3.jpg";"Китай";"r";"<p>Солнечный контроллер заряда Acamar 50 от C&T Solar оснащен встроенным драйвером светодиодов, что позволяет минимизировать расходы на оснащение солнечного светодиодного освещения. Функция интеллектуального управления мощностью снижает яркость освещения светодиодов в зависимости от степени заряда батарей.
<p>Плавное регулирование мощности светильника в диапазоне от 0 до 100%. Логгирование параметров работы контроллера с хранением в течение 7 дней.</p>
<ul>
<li>Напряжение системы - 12/24 В
<li>Мощность подключаемых светодиодов - 30 Вт для 12В; 50 Вт для 24В
<li>Ток заряда - 10 А
<li>Степень защиты - IP68
<li>Размеры - 58×82×20 мм
<li>Вес - 170 г</li>
</ul>
<p>Удаленное управление контроллером с помощью беспроводного пульта Acamar CU (приобретается отдельно).</p>";"http://prom.ua/Solnechnye-kontrollery";"0.17";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"68";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
